song_id,genre
(G)I-DLE -TOMBOY,Angst
01 Acapulco,Romantic Ballad
01 Coven - 2021,Game Soundtrack
01 Everything Goes On,Game Soundtrack
01 Legends Never Die,Game Soundtrack
01 Puppet,Romantic Ballad
"01 Seraphine, The Starry - Eyed Song",Game Soundtrack
01 Starts Right Here (feat. Kenny Mason),Game Soundtrack
"01 Take Over (feat. Jeremy McKinnon,",Game Soundtrack
01. Playground (from the series Arcane League of Legends),Soundtrack
02. Our Love (from the series Arcane League of Legends),Soundtrack
03. Goodbye (from the series Arcane League of Legends),Soundtrack
04 Running Up That Hill (A Deal with,Singles
04. Dirty Little Animals (from the series Arcane League of Legends),Soundtrack
05. Enemy feat. J.I.D. (from the series Arcane League of Legends),Soundtrack
06. Guns for Hire (from the series Arcane League of Legends),Soundtrack
07. Misfit Toys (from the series Arcane League of Legends),Soundtrack
08. Dynasties and Dystopia (from the series Arcane League of Legends),Soundtrack
09. Snakes (from the series Arcane League of Legends),Soundtrack
10. When Everything Went Wrong (from the series Arcane League of Legends),Soundtrack
11. What Could Have Been feat. Ray Chen (from the series Arcane League of Legends),Soundtrack
14 - twenty one pilots - Drag Path,Angst
16 Choose Your Fighter,Romantic Ballad
2WORLDS -- Madge x VALORANT - Official Audio (64 kbps),Game Soundtrack
347aidan - Dancing in My Room,Game Soundtrack
A Little Wicked -- Valerie Broussard,Angst
Achilles Heel - J. Maya,Angst
Adam Jensen - The Mystic,Game Soundtrack
Alec Benjamin - One Wrong Turn,Angst
Alec Benjamin - Paper Crown,Romantic Ballad
Alexander Stewart - i wish you cheated,Romantic Ballad
ALL NIGHT  TYRANT - HANGMAN VERSION,Romantic Ballad
Angels - Vicetone (Edit),Angst
Anson Seabra - Keep Your Head Up Princess,Romantic Ballad
Apashe - More (Prelude),Angst
Arctic Monkeys - Do I Wanna Know,Angst
Artemas - i like the way you kiss me (64 kbps),Game Soundtrack
Ashley Sienna - What You Need,Angst
"Ashnikko, Yung Baby Tate - STUPID",Angst
Au-Ra - Dance in the Dark,Angst
Ava Max - Belladonna,Angst
Ayla D'Lyla - Money,Angst
Babooshka (2018 Remaster),Angst
Banners - Someone To You,Romantic Ballad
Bastille - Bad Blood,Romantic Ballad
Bebe Rexha - Break My Heart Myself (feat. Travis Barker),Angst
Bebe Rexha - I'm Gonna Show You Crazy,Angst
Benson Boone - Beautiful Things,Romantic Ballad
Besomorph - Army,Game Soundtrack
Besomorph - Not The One,Game Soundtrack
Besomorph - Redemption,Game Soundtrack
Beyoncé - MY HOUSE,Angst
Billie Eilish - Bored,Romantic Ballad
Billie Eilish - idontwannabeyouanymore,Romantic Ballad
Billie Eilish - you should see me in a crown,Angst
BIRDY RHODES - Let It All Go,Angst
Bishop Briggs - River,Angst
BLACKPINK - THE GIRLS,K-POP
Britney Spears - Circus,Angst
Bruno Mars - Talking to the Moon,Romantic Ballad
Bryce Fox - Horns,Angst
Cars Outside (Luca Schreiner Remix),Angst
Chandler Leighton - When You Say My Name,Angst
Chase Atlantic - Slow Down,Angst
Chicago - Cell Block Tango,Angst
Chinchilla - Little Girl Gone,Angst
Cigarettes After Sex - Cry,Romantic Ballad
CL -  HELLO BITCHES,Angst
Clean Bandit x Elley Duhé – Don’t Leave Me Lonely,Angst
Cloudy June - FU In My Head,Angst
COBRAH - GOOD PUSS,Angst
Conan Gray - Killing Me,Romantic Ballad
Conan Gray - Lookalike,Romantic Ballad
Conan Gray - The Exit,Romantic Ballad
Connor Price - Violet,Game Soundtrack
Cookiee Kawaii - Violin (feat. Dear Silas),Angst
Creepy Nuts - Bling-Bang-Bang-Born,Game Soundtrack
Cyn - Drinks,Angst
d4vd - Romantic Homicide,Romantic Ballad
David Kushner - Dead Man,Romantic Ballad
Dean Lewis - Hurtless,Romantic Ballad
Desperado - Rihanna,Angst
dhruv - double take,Romantic Ballad
Die For You (Dabin Remix) (64 kbps),Game Soundtrack
Djo - End of Beginning,Romantic Ballad
Doja Cat - Boss Bitch,Angst
Doja Cat - Gun,Romantic Ballad
Dove Cameron - Bad Idea,Angst
Dove Cameron - We Go Down Together,Angst
DPR IAN - So I Danced,Angst
