song_id,ground_truth,kmeans,agglo,dbscan
SpotiDownloader.com - What Was That - Lorde,unknown,84,86,-1
spotifydown.com - HOT TO GO!,unknown,88,74,-1
SpotiDownloader.com - Give Your Heart A Break (with robbietheused) - Rock Version - Demi Lovato,unknown,10,97,-1
spotifydown.com - Houdini,unknown,43,35,-1
BIRDY RHODES - Let It All Go,unknown,17,83,-1
SpotiDownloader.com - Skin and Bones - David Kushner,unknown,50,3,-1
[SPOTDOWNLOADER.COM] Sailor Song,unknown,87,7,-1
SpotiMate.io - Chemtrails Over The Country Club - Lana Del Rey,unknown,0,26,-1
Transviolet_Destroy_Destroy_Destroy,Transviolet,102,8,59
SpotiDownloader.com - Pain - PinkPantheress,unknown,79,28,-1
SpotiDownloader.com - twilight zone - Ariana Grande,unknown,64,56,-1
[SPOTDOWNLOADER.COM] Bring Me To Life,unknown,5,68,0
SpotiMate.io - Space Song - Beach House,unknown,24,19,-1
07. Misfit Toys (from the series Arcane League of Legends),unknown,90,2,1
Nirvana - Something In The Way,unknown,74,90,-1
Neoni - OUTLAW,unknown,25,42,-1
League of Legends - Legends Never Die,unknown,32,85,2
spotifydown.com - Messy - Lola Young,unknown,25,26,3
SpotiMate.io - One More Night - Maroon 5,unknown,43,18,-1
Joji - SLOW DANCING IN THE DARK,unknown,80,64,-1
Neoni - LOSER,unknown,53,62,4
Morgan_St_Jean_Do_It_Like_A_Girl,Morgan,100,38,5
spotifydown.com - Risk,unknown,38,9,6
Melanie Martinez - Mad Hatter,unknown,31,10,-1
spotifydown.com - LET THE WORLD BURN,unknown,9,14,7
spotifydown.com - Different Kind Of Beautiful,unknown,9,14,7
spotidownloader.com - Busy Woman - Sabrina Carpenter,unknown,5,68,8
[SPOTDOWNLOADER.COM] Video Games,unknown,81,91,9
Harry Styles - Woman,unknown,60,92,10
Faouzia_My_Heart_s_Grave,Faouzia,46,57,11
spotifydown.com - Apple,unknown,37,23,-1
Call_Me_Karizma_Rebels,Call,99,49,-1
spotifydown.com - I.Crawl - Childish Gambino,unknown,25,42,12
SpotiDownloader.com - Give Your Heart A Break (with robbietheused) - Rock Version - Demi Lovato,unknown,68,27,13
07. Misfit Toys (from the series Arcane League of Legends),unknown,31,10,0
spotifydown.com - High,unknown,53,62,14
spotifydown.com - Wicked Game,unknown,59,88,-1
Miley Cyrus - Mother's Daughter,unknown,102,8,-1
Ayla D'Lyla - Money,unknown,46,57,15
spotifydown.com - In This Shirt,unknown,20,43,-1
spotifydown.com - Fourth of July,unknown,27,48,-1
SpotiDownloader.com - her - JVKE,unknown,6,78,-1
SpotiDownloader.com - Die On This Hill - SIENNA SPIRO,unknown,81,59,-1
Griff - Black Hole,unknown,13,0,-1
[SPOTDOWNLOADER.COM] Bring Me To Life,unknown,5,68,0
SpotiMate.io - Salvatore - Lana Del Rey,unknown,80,39,-1
Winona Oak - SHE,unknown,9,14,14
League of Legends - Burning Bright,unknown,100,9,-1
Die For You (Dabin Remix) (64 kbps),unknown,76,14,161
Bishop Briggs - River,unknown,38,42,16
SpotiDownloader.com - twilight zone - Ariana Grande,unknown,64,56,-1
spotifydown.com - In My Room,unknown,66,0,-1
Lana Del Rey - Radio,unknown,56,70,-1
SpotiDownloader.com - my lawyer said don't - VALORANT,unknown,90,2,-1
spotifydown.com - Goddess,unknown,49,31,-1
[SPOTDOWNLOADER.COM] Monster,unknown,10,70,17
JENNIE - You & Me,unknown,16,69,18
spotifydown.com - Please Please Please,unknown,53,85,196
spotidownloader.com - luther (with sza) - Kendrick Lamar,unknown,64,56,-1
spotifydown.com - Close To You,unknown,39,62,19
spotifydown.com - Goddess,unknown,48,31,-1
[SPOTDOWNLOADER.COM] Monster,unknown,72,5,20
Sir_Chloe_Michelle,Sir,77,76,-1
spotifydown.com - Mary On A Cross - Ghost,unknown,102,8,21
spotifydown.com - Faint - Linkin Park,unknown,68,34,-1
dhruv - double take,unknown,69,4,-1
Chinchilla - Little Girl Gone,unknown,86,9,-1
spotifydown.com - Hero,unknown,44,81,-1
spotifydown.com - Every Breath You Take - The Police,unknown,33,89,-1
Prismo - Solo,unknown,28,5,-1
SpotiDownloader.com - dying on the inside - Nessa Barrett,unknown,31,10,22
Harry Styles - Sweet Creature,unknown,13,58,-1
